Gene,Name,Description,Sauce
 HRASLS,phospholipase A and acyltransferase 1,"Enables acyltransferase activity, transferring groups other than amino-acyl groups and phospholipase activity. Involved in N-acylphosphatidylethanolamine metabolic process and phosphatidylcholine metabolic process. Located in cytoplasm and nucleus. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in testis (RPKM 17.3), thyroid (RPKM 1.8) and 3 other tissues",https://www.ncbi.nlm.nih.gov/gene/57110
 GPR98,adhesion G protein-coupled receptor V1,"This gene encodes a member of the G-protein coupled receptor superfamily. The encoded protein contains a 7-transmembrane receptor domain, binds calcium and is expressed in the central nervous system. Mutations in this gene are associated with Usher syndrome 2 and familial febrile seizures. Several alternatively spliced transcripts have been described. [provided by RefSeq, Jul 2008] Biased expression in adrenal (RPKM 8.5), brain (RPKM 6.0) and 6 other tissues",https://www.ncbi.nlm.nih.gov/gene/84059
 MAG,myelin associated glycoprotein,"The protein encoded by this gene is a type I membrane protein and member of the immunoglobulin superfamily. It is thought to be involved in the process of myelination. It is a lectin that binds to sialylated glycoconjugates and mediates certain myelin-neuron cell-cell interactions. Three alternatively spliced transcripts encoding different isoforms have been described for this gene. [provided by RefSeq, Nov 2010] Biased expression in brain (RPKM 53.6) and ovary (RPKM 16.9)",https://www.ncbi.nlm.nih.gov/gene/4099
 CARNS1,carnosine synthase 1,"CARNS1 (EC 6.3.2.11), a member of the ATP-grasp family of ATPases, catalyzes the formation of carnosine (beta-alanyl-L-histidine) and homocarnosine (gamma-aminobutyryl-L-histidine), which are found mainly in skeletal muscle and the central nervous system, respectively (Drozak et al., 2010 [PubMed 20097752]).[supplied by OMIM, Apr 2010] Biased expression in brain (RPKM 21.1), thyroid (RPKM 2.9) and 3 other tissues",https://www.ncbi.nlm.nih.gov/gene/57571
 C3,complement C3,"Complement component C3 plays a central role in the activation of complement system. Its activation is required for both classical and alternative complement activation pathways. The encoded preproprotein is proteolytically processed to generate alpha and beta subunits that form the mature protein, which is then further processed to generate numerous peptide products. The C3a peptide, also known as the C3a anaphylatoxin, modulates inflammation and possesses antimicrobial activity. Mutations in this gene are associated with atypical hemolytic uremic syndrome and age-related macular degeneration in human patients. [provided by RefSeq, Nov 2015] Biased expression in liver (RPKM 1676.7), gall bladder (RPKM 250.0) and 5 other tissues",https://www.ncbi.nlm.nih.gov/gene/718
 MEG3,maternally expressed 3,"This gene is a maternally expressed imprinted gene. Multiple alternatively spliced transcript variants have been transcribed from this gene and all of them are long non-coding RNAs (lncRNAs). This gene is expressed in many normal tissues, but its expression is lost in multiple cancer cell lines of various tissue origins. It inhibits tumor cell proliferation in vitro. It also interacts with the tumor suppressor p53, and regulates p53 target gene expression. Its deletion enhances angiogenesis in vivo. Many experimental evidences demonstrate that this gene is a lncRNA tumor suppressor. [provided by RefSeq, Mar 2012] Biased expression in placenta (RPKM 89.5), adrenal (RPKM 54.9) and 6 other tissues",https://www.ncbi.nlm.nih.gov/gene/55384
 RGS1,regulator of G protein signaling 1,"This gene encodes a member of the regulator of G-protein signalling family. This protein is located on the cytosolic side of the plasma membrane and contains a conserved, 120 amino acid motif called the RGS domain. The protein attenuates the signalling activity of G-proteins by binding to activated, GTP-bound G alpha subunits and acting as a GTPase activating protein (GAP), increasing the rate of conversion of the GTP to GDP. This hydrolysis allows the G alpha subunits to bind G beta/gamma subunit heterodimers, forming inactive G-protein heterotrimers, thereby terminating the signal. [provided by RefSeq, Jul 2008]. Broad expression in appendix (RPKM 110.9), lymph node (RPKM 72.3) and 17 other tissues",https://www.ncbi.nlm.nih.gov/gene/5996
NEUROD6,neuronal differentiation 6,"This gene is a member of the NEUROD family of basic helix-loop-helix transcription factors. The encoded protein may be involved in the development and differentiation of the nervous system. [provided by RefSeq, Nov 2012]. Restricted expression toward brain (RPKM 7.3)",https://www.ncbi.nlm.nih.gov/gene/63974
 PROX1,prospero homeobox 1,"The protein encoded by this gene is a member of the homeobox transcription factor family. Members of this family contain a homeobox domain that consists of a 60-amino acid helix-turn-helix structure that binds DNA and RNA. The protein encoded by this gene is conserved across vertebrates and may play an essential role during development. Altered levels of this protein have been reported in cancers of different organs, such as colon, brain, blood, breast, pancreas, liver and esophagus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2012]. Biased expression in liver (RPKM 20.2), adrenal (RPKM 5.1) and 13 other tissues",https://www.ncbi.nlm.nih.gov/gene/5629
 UNC80,"unc-80 homolog, NALCN channel complex subunit","The protein encoded by this gene is a component of a voltage-independent 'leak' ion-channel complex, in which it performs essential functions, such as serving as a bridge between two other components (sodium leak channel non-selective and UNC79) and as a scaffold for Src kinases. Leak channels play an importnat role in establishment and maintenance of resting membrane potentials in neurons. Mutations in this gene are associated with congenital infantile encephalopathy, intellectual disability and growth issues. [provided by RefSeq, Aug 2016]. Biased expression in brain (RPKM 5.6), adrenal (RPKM 2.1) and 3 other tissues.",https://www.ncbi.nlm.nih.gov/gene/285175
 FERMT1,FERM domain containing kindlin 1,"This gene encodes a member of the fermitin family, and contains a FERM domain and a pleckstrin homology domain. The encoded protein is involved in integrin signaling and linkage of the actin cytoskeleton to the extracellular matrix. Mutations in this gene have been linked to Kindler syndrome. [provided by RefSeq, Dec 2009]. Broad expression in colon (RPKM 18.0), skin (RPKM 10.5) and 15 other tissues",https://www.ncbi.nlm.nih.gov/gene/55612
 AGT,angiotensinogen,"The protein encoded by this gene, pre-angiotensinogen or angiotensinogen precursor, is expressed in the liver and is cleaved by the enzyme renin in response to lowered blood pressure. The resulting product, angiotensin I, is then cleaved by angiotensin converting enzyme (ACE) to generate the physiologically active enzyme angiotensin II. The protein is involved in maintaining blood pressure, body fluid and electrolyte homeostasis, and in the pathogenesis of essential hypertension and preeclampsia. Mutations in this gene are associated with susceptibility to essential hypertension, and can cause renal tubular dysgenesis, a severe disorder of renal tubular development. Defects in this gene have also been associated with non-familial structural atrial fibrillation, and inflammatory bowel disease. [provided by RefSeq, Nov 2019]. Biased expression in liver (RPKM 264.6), brain (RPKM 76.5) and 3 other tissues",https://www.ncbi.nlm.nih.gov/gene/183
 TMSB15A,thymosin beta 15A,"Predicted to enable actin monomer binding activity. Involved in positive regulation of cell migration. Predicted to be located in cytoskeleton. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]. Broad expression in prostate (RPKM 5.7), endometrium (RPKM 2.4) and 14 other tissues",https://www.ncbi.nlm.nih.gov/gene/11013
 SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1","This gene encodes a cell surface glycoprotein that is a member of the SCUBE (signal peptide, CUB domain, EGF (epidermal growth factor)-like protein) family. Family members have an amino-terminal signal peptide, nine copies of EGF-like repeats and a CUB domain at the carboxyl terminus. This protein is expressed in platelets and endothelial cells and may play an important role in vascular biology. [provided by RefSeq, Oct 2011]. Broad expression in ovary (RPKM 8.0), testis (RPKM 5.9) and 17 other tissues",https://www.ncbi.nlm.nih.gov/gene/80274
 TM4SF1,transmembrane 4 L six family member 1,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. This encoded protein is a cell surface antigen and is highly expressed in different carcinomas. [provided by RefSeq, Jul 2008]. Broad expression in gall bladder (RPKM 142.0), lung (RPKM 138.0) and 24 other tissues",https://www.ncbi.nlm.nih.gov/gene/4071
BIRC5,baculoviral IAP repeat containing 5,"This gene is a member of the inhibitor of apoptosis (IAP) gene family, which encode negative regulatory proteins that prevent apoptotic cell death. IAP family members usually contain multiple baculovirus IAP repeat (BIR) domains, but this gene encodes proteins with only a single BIR domain. The encoded proteins also lack a C-terminus RING finger domain. Gene expression is high during fetal development and in most tumors, yet low in adult tissues. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jun 2011]. Biased expression in bone marrow (RPKM 13.2), testis (RPKM 10.8) and 12 other tissues",https://www.ncbi.nlm.nih.gov/gene/332
 FCGR3A,Fc gamma receptor IIIa,"This gene encodes a receptor for the Fc portion of immunoglobulin G, and it is involved in the removal of antigen-antibody complexes from the circulation, as well as other responses, including antibody dependent cellular mediated cytotoxicity and antibody dependent enhancement of virus infections. This gene (FCGR3A) is highly similar to another nearby gene (FCGR3B) located on chromosome 1. The receptor encoded by this gene is expressed on natural killer (NK) cells as an integral membrane glycoprotein anchored through a transmembrane peptide, whereas FCGR3B is expressed on polymorphonuclear neutrophils (PMN) where the receptor is anchored through a phosphatidylinositol (PI) linkage. Mutations in this gene are associated with immunodeficiency 20, and have been linked to susceptibility to recurrent viral infections, susceptibility to systemic lupus erythematosus, and alloimmune neonatal neutropenia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2020]. Biased expression in spleen (RPKM 154.1), lung (RPKM 70.6) and 10 other tissues",https://www.ncbi.nlm.nih.gov/gene/2214
CD74,CD74 molecule,"The protein encoded by this gene associates with class II major histocompatibility complex (MHC) and is an important chaperone that regulates antigen presentation for immune response. It also serves as cell surface receptor for the cytokine macrophage migration inhibitory factor (MIF) which, when bound to the encoded protein, initiates survival pathways and cell proliferation. This protein also interacts with amyloid precursor protein (APP) and suppresses the production of amyloid beta (Abeta). Multiple alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Aug 2011]. Broad expression in spleen (RPKM 1835.3), lymph node (RPKM 1421.7) and 24 other tissues",https://www.ncbi.nlm.nih.gov/gene/972
CNC (AKA PRKAR1A),protein kinase cAMP-dependent type I regulatory subunit alpha,"cAMP is a signaling molecule important for a variety of cellular functions. cAMP exerts its effects by activating the cAMP-dependent protein kinase, which transduces the signal through phosphorylation of different target proteins. The inactive kinase holoenzyme is a tetramer composed of two regulatory and two catalytic subunits. cAMP causes the dissociation of the inactive holoenzyme into a dimer of regulatory subunits bound to four cAMP and two free monomeric catalytic subunits. Four different regulatory subunits and three catalytic subunits have been identified in humans. This gene encodes one of the regulatory subunits. This protein was found to be a tissue-specific extinguisher that down-regulates the expression of seven liver genes in hepatoma x fibroblast hybrids. Mutations in this gene cause Carney complex (CNC). This gene can fuse to the RET protooncogene by gene rearrangement and form the thyroid tumor-specific chimeric oncogene known as PTC2. A nonconventional nuclear localization sequence (NLS) has been found for this protein which suggests a role in DNA replication via the protein serving as a nuclear transport protein for the second subunit of the Replication Factor C (RFC40). Several alternatively spliced transcript variants encoding two different isoforms have been observed. [provided by RefSeq, Jan 2013] Ubiquitous expression in heart (RPKM 107.2), thyroid (RPKM 76.1) and 25 other tissues",https://www.ncbi.nlm.nih.gov/gene/5573
STMN2,stathmin 2,"This gene encodes a member of the stathmin family of phosphoproteins. Stathmin proteins function in microtubule dynamics and signal transduction. The encoded protein plays a regulatory role in neuronal growth and is also thought to be involved in osteogenesis. Reductions in the expression of this gene have been associated with Down's syndrome and Alzheimer's disease. Alternatively spliced transcript variants have been observed for this gene. A pseudogene of this gene is located on the long arm of chromosome 6. [provided by RefSeq, Nov 2010]. Biased expression in brain (RPKM 155.5) and adrenal (RPKM 33.4)",https://www.ncbi.nlm.nih.gov/gene/11075
 TMEM144,transmembrane protein 144,"Predicted to enable carbohydrate transmembrane transporter activity. Predicted to be involved in carbohydrate transmembrane transport. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]. Biased expression in brain (RPKM 40.3), duodenum (RPKM 10.7) and 13 other tissues",https://www.ncbi.nlm.nih.gov/gene/55314
 PWAR1,Prader Willi/Angelman region RNA 1,"PWAR1 (Prader Willi/Angelman Region RNA 1) is an RNA Gene, and is affiliated with the lncRNA class. Diseases associated with PWAR1 include Prader-Willi Syndrome and Purpura Fulminans.",https://www.ncbi.nlm.nih.gov/gene/?term=Homo+sapiens+PWAR1 https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR1
 SYNPR,synaptoporin,"Predicted to be located in neuron projection and synaptic vesicle. Predicted to be integral component of membrane. Predicted to be active in synaptic vesicle membrane. Predicted to be integral component of synaptic vesicle membrane. [provided by Alliance of Genome Resources, Apr 2022].  Restricted expression toward brain (RPKM 14.4)",https://www.ncbi.nlm.nih.gov/gene/132204
 KLF4,KLF transcription factor 4,"This gene encodes a protein that belongs to the Kruppel family of transcription factors. The encoded zinc finger protein is required for normal development of the barrier function of skin. The encoded protein is thought to control the G1-to-S transition of the cell cycle following DNA damage by mediating the tumor suppressor gene p53. Mice lacking this gene have a normal appearance but lose weight rapidly, and die shortly after birth due to fluid evaporation resulting from compromised epidermal barrier function. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2015]. Broad expression in colon (RPKM 75.2), esophagus (RPKM 73.6) and 22 other tissues",https://www.ncbi.nlm.nih.gov/gene/9314
CALB2,calbindin 2,"This gene encodes an intracellular calcium-binding protein belonging to the troponin C superfamily. Members of this protein family have six EF-hand domains which bind calcium. This protein plays a role in diverse cellular functions, including message targeting and intracellular calcium buffering. It also functions as a modulator of neuronal excitability, and is a diagnostic marker for some human diseases, including Hirschsprung disease and some cancers. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2010]. Biased expression in fat (RPKM 72.8), testis (RPKM 20.4) and 4 other tissues",https://www.ncbi.nlm.nih.gov/gene/794
CDK1,cyclin dependent kinase 1,"The protein encoded by this gene is a member of the Ser/Thr protein kinase family. This protein is a catalytic subunit of the highly conserved protein kinase complex known as M-phase promoting factor (MPF), which is essential for G1/S and G2/M phase transitions of eukaryotic cell cycle. Mitotic cyclins stably associate with this protein and function as regulatory subunits. The kinase activity of this protein is controlled by cyclin accumulation and destruction through the cell cycle. The phosphorylation and dephosphorylation of this protein also play important regulatory roles in cell cycle control. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]. Broad expression in lymph node (RPKM 12.8), bone marrow (RPKM 12.8) and 18 other tissues",https://www.ncbi.nlm.nih.gov/gene/983
 SLCO1C1,solute carrier organic anion transporter family member 1C1,"This gene encodes a member of the organic anion transporter family. The encoded protein is a transmembrane receptor that mediates the sodium-independent uptake of thyroid hormones in brain tissues. This protein has particularly high affinity for the thyroid hormones thyroxine, tri-iodothyronine and reverse tri-iodothyronine. Polymorphisms in the gene encoding this protein may be associated with fatigue and depression in patients suffering from hyperthyroidism. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2009]. Biased expression in brain (RPKM 4.0), fat (RPKM 0.5) and 3 other tissues",https://www.ncbi.nlm.nih.gov/gene/53919
 THY1,Thy-1 cell surface antigen,"This gene encodes a cell surface glycoprotein and member of the immunoglobulin superfamily of proteins. The encoded protein is involved in cell adhesion and cell communication in numerous cell types, but particularly in cells of the immune and nervous systems. The encoded protein is widely used as a marker for hematopoietic stem cells. This gene may function as a tumor suppressor in nasopharyngeal carcinoma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2015]. Broad expression in brain (RPKM 87.8), kidney (RPKM 58.0) and 16 other tissues",https://www.ncbi.nlm.nih.gov/gene/7070
 APOD,apolipoprotein D,"This gene encodes a component of high density lipoprotein that has no marked similarity to other apolipoprotein sequences. It has a high degree of homology to plasma retinol-binding protein and other members of the alpha 2 microglobulin protein superfamily of carrier proteins, also known as lipocalins. This glycoprotein is closely associated with the enzyme lecithin:cholesterol acyltransferase - an enzyme involved in lipoprotein metabolism. [provided by RefSeq, Aug 2008]. Broad expression in fat (RPKM 368.7), brain (RPKM 153.2) and 16 other tissues. ",https://www.ncbi.nlm.nih.gov/gene/347
HTR2C,5-hydroxytryptamine receptor 2C,"This gene encodes a seven-transmembrane G-protein-coupled receptor. The encoded protein responds to signaling through the neurotransmitter serotonin. The mRNA of this gene is subject to multiple RNA editing events, where adenosine residues encoded by the genome are converted to inosines. RNA editing is predicted to alter the structure of the second intracellular loop, thereby generating alternate protein forms with decreased ability to interact with G proteins. Abnormalities in RNA editing of this gene have been detected in victims of suicide that suffer from depression. In addition, naturally-occuring variation in the promoter and 5' non-coding and coding regions of this gene may show statistically-significant association with mental illness and behavioral disorders. Alternative splicing results in multiple different transcript variants. [provided by RefSeq, Jan 2015] .  Restricted expression toward brain (RPKM 1.3)",https://www.ncbi.nlm.nih.gov/gene/3358
GPR17,G protein-coupled receptor 17,"Predicted to enable G protein-coupled receptor activity. Predicted to be involved in positive regulation of Rho protein signal transduction and positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway. Predicted to act upstream of or within negative regulation of inflammatory response to antigenic stimulus. Predicted to be located in plasma membrane. Predicted to be integral component of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]. Biased expression in brain (RPKM 16.2), endometrium (RPKM 2.8) and 5 other tissues",https://www.ncbi.nlm.nih.gov/gene/2840
PLP1,proteolipid protein 1,"This gene encodes a transmembrane proteolipid protein that is the predominant component of myelin. The encoded protein may play a role in the compaction, stabilization, and maintenance of myelin sheaths, as well as in oligodendrocyte development and axonal survival. Mutations in this gene cause Pelizaeus-Merzbacher disease and spastic paraplegia type 2. Alternatively splicing results in multiple transcript variants, including the DM20 splice variant. [provided by RefSeq, Feb 2015]. Restricted expression toward brain (RPKM 1259.3)",https://www.ncbi.nlm.nih.gov/gene/5354
 LILRB4,leukocyte immunoglobulin like receptor B4,"This gene is a member of the leukocyte immunoglobulin-like receptor (LIR) family, which is found in a gene cluster at chromosomal region 19q13.4. The encoded protein belongs to the subfamily B class of LIR receptors which contain two or four extracellular immunoglobulin domains, a transmembrane domain, and two to four cytoplasmic immunoreceptor tyrosine-based inhibitory motifs (ITIMs). The receptor is expressed on immune cells where it binds to MHC class I molecules on antigen-presenting cells and transduces a negative signal that inhibits stimulation of an immune response. The receptor can also function in antigen capture and presentation. It is thought to control inflammatory responses and cytotoxicity to help focus the immune response and limit autoreactivity. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]. Broad expression in appendix (RPKM 9.2), lymph node (RPKM 8.1) and 17 other tissues",https://www.ncbi.nlm.nih.gov/gene/11006
 BLM,BLM RecQ like helicase,"The Bloom syndrome is an autosomal recessive disorder characterized by growth deficiency, microcephaly and immunodeficiency among others. It is caused by homozygous or compound heterozygous mutation in the gene encoding DNA helicase RecQ protein on chromosome 15q26. This Bloom-associated helicase unwinds a variety of DNA substrates including Holliday junction, and is involved in several pathways contributing to the maintenance of genome stability. Identification of pathogenic Bloom variants is required for heterozygote testing in at-risk families. [provided by RefSeq, May 2020]. Biased expression in salivary gland (RPKM 10.0), lymph node (RPKM 3.9) and 12 other tissues",https://www.ncbi.nlm.nih.gov/gene/641
 FOXC1,forkhead box C1,"This gene belongs to the forkhead family of transcription factors which is characterized by a distinct DNA-binding forkhead domain. The specific function of this gene has not yet been determined; however, it has been shown to play a role in the regulation of embryonic and ocular development. Mutations in this gene cause various glaucoma phenotypes including primary congenital glaucoma, autosomal dominant iridogoniodysgenesis anomaly, and Axenfeld-Rieger anomaly. [provided by RefSeq, Jul 2008]. ",https://www.ncbi.nlm.nih.gov/gene/2296
SATB2,SATB homeobox 2,"This gene encodes a DNA binding protein that specifically binds nuclear matrix attachment regions. The encoded protein is involved in transcription regulation and chromatin remodeling. Defects in this gene are associated with isolated cleft palate and cognitive disability. Alternate splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Feb 2010]. Biased expression in colon (RPKM 13.7), brain (RPKM 6.3) and 7 other tissues.",https://www.ncbi.nlm.nih.gov/gene/23314
 CDH9,cadherin 9,"This gene encodes a type II classical cadherin from the cadherin superfamily, integral membrane proteins that mediate calcium-dependent cell-cell adhesion. Mature cadherin proteins are composed of a large N-terminal extracellular domain, a single membrane-spanning domain, and a small, highly conserved C-terminal cytoplasmic domain. The extracellular domain consists of 5 subdomains, each containing a cadherin motif, and appears to determine the specificity of the protein's homophilic cell adhesion activity. Type II (atypical) cadherins are defined based on their lack of a HAV cell adhesion recognition sequence specific to type I cadherins. [provided by RefSeq, Jul 2008]. Biased expression in brain (RPKM 3.5) and kidney (RPKM 1.9) ",-https://www.ncbi.nlm.nih.gov/gene/1007
 PCDH15,protocadherin related 15,"This gene is a member of the cadherin superfamily. Family members encode integral membrane proteins that mediate calcium-dependent cell-cell adhesion. It plays an essential role in maintenance of normal retinal and cochlear function. Mutations in this gene result in hearing loss and Usher Syndrome Type IF (USH1F). Extensive alternative splicing resulting in multiple isoforms has been observed in the mouse ortholog. Similar alternatively spliced transcripts are inferred to occur in human, and additional variants are likely to occur. [provided by RefSeq, Dec 2008]. Biased expression in brain (RPKM 1.2), adrenal (RPKM 0.8) and 5 other tissues",https://www.ncbi.nlm.nih.gov/gene/65217
 ITGAX,integrin subunit alpha X,"This gene encodes the integrin alpha X chain protein. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. This protein combines with the beta 2 chain (ITGB2) to form a leukocyte-specific integrin referred to as inactivated-C3b (iC3b) receptor 4 (CR4). The alpha X beta 2 complex seems to overlap the properties of the alpha M beta 2 integrin in the adherence of neutrophils and monocytes to stimulated endothelium cells, and in the phagocytosis of complement coated particles. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2013]. Biased expression in spleen (RPKM 34.3), appendix (RPKM 32.4) and 12 other tissues ",https://www.ncbi.nlm.nih.gov/gene/3687
BCL11A,BCL11 transcription factor A,"This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. The corresponding mouse gene is a common site of retroviral integration in myeloid leukemia, and may function as a leukemia disease gene, in part, through its interaction with BCL6. During hematopoietic cell differentiation, this gene is down-regulated. It is possibly involved in lymphoma pathogenesis since translocations associated with B-cell malignancies also deregulates its expression. Multiple transcript variants encoding several different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]. Broad expression in skin (RPKM 2.8), lymph node (RPKM 2.2) and 17 other tissues",https://www.ncbi.nlm.nih.gov/gene/53335
 C3AR1,complement C3a receptor 1,"C3a is an anaphylatoxin released during activation of the complement system. The protein encoded by this gene is an orphan G protein-coupled receptor for C3a. Binding of C3a by the encoded receptor activates chemotaxis, granule enzyme release, superoxide anion production, and bacterial opsonization. [provided by RefSeq, May 2016]. Broad expression in appendix (RPKM 43.3), placenta (RPKM 19.2) and 21 other tissues",https://www.ncbi.nlm.nih.gov/gene/719
 IL1RAP,interleukin 1 receptor accessory protein,"This gene encodes a component of the interleukin 1 receptor complex, which initiates signalling events that result in the activation of interleukin 1-responsive genes. Alternative splicing of this gene results in membrane-bound and soluble isoforms differing in their C-terminus. The ratio of soluble to membrane-bound forms increases during acute-phase induction or stress. [provided by RefSeq, Jul 2018]. Broad expression in liver (RPKM 11.2), placenta (RPKM 7.8) and 21 other tissues",https://www.ncbi.nlm.nih.gov/gene/3556
 VSTM2A,V-set and transmembrane domain containing 2A," Predicted to enable identical protein binding activity. Involved in several processes, including positive regulation of brown fat cell differentiation; positive regulation of lipid storage; and positive regulation of white fat cell proliferation. Predicted to be located in extracellular region. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]. Biased expression in brain (RPKM 3.8), prostate (RPKM 1.6) and 4 other tissues",https://www.ncbi.nlm.nih.gov/gene/222008
 CKMT1B,"creatine kinase, mitochondrial 1B","Mitochondrial creatine (MtCK) kinase is responsible for the transfer of high energy phosphate from mitochondria to the cytosolic carrier, creatine. It belongs to the creatine kinase isoenzyme family. It exists as two isoenzymes, sarcomeric MtCK and ubiquitous MtCK, encoded by separate genes. Mitochondrial creatine kinase occurs in two different oligomeric forms: dimers and octamers, in contrast to the exclusively dimeric cytosolic creatine kinase isoenzymes. Many malignant cancers with poor prognosis have shown overexpression of ubiquitous mitochondrial creatine kinase; this may be related to high energy turnover and failure to eliminate cancer cells via apoptosis. Ubiquitous mitochondrial creatine kinase has 80% homology with the coding exons of sarcomeric mitochondrial creatine kinase. Two genes located near each other on chromosome 15 have been identified which encode identical mitochondrial creatine kinase proteins. [provided by RefSeq, Jul 2008]. Biased expression in colon (RPKM 40.9), duodenum (RPKM 39.5) and 13 other tissues",https://www.ncbi.nlm.nih.gov/gene/1159
 MEGF11,multiple EGF like domains 11,"Predicted to be involved in homotypic cell-cell adhesion and retina layer formation. Predicted to be located in basolateral plasma membrane. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]. Biased expression in brain (RPKM 3.0), testis (RPKM 0.5) and 2 other tissues",https://www.ncbi.nlm.nih.gov/gene/84465
 CCL4,C-C motif chemokine ligand 4,"The protein encoded by this gene is a mitogen-inducible monokine and is one of the major HIV-suppressive factors produced by CD8+ T-cells. The encoded protein is secreted and has chemokinetic and inflammatory functions. [provided by RefSeq, Dec 2012]. Broad expression in bone marrow (RPKM 61.4), liver (RPKM 36.1) and 18 other tissues",https://www.ncbi.nlm.nih.gov/gene/6351
